country,product,date,gross_production_value
Albania,Spinach,2015,9494
Albania,Spinach,2016,10055
Albania,Spinach,2017,10377
Albania,Spinach,2018,10681
Albania,Sugar beet,2015,1600
Albania,Sugar beet,2016,1525
Albania,Sugar beet,2017,1447
Albania,Sugar beet,2018,1235
Albania,Sunflower seed,2015,2066
Albania,Sunflower seed,2016,2037
Albania,Sunflower seed,2017,1154
Albania,Sunflower seed,2018,874
Albania,"Tangerines, mandarins, clementines",2015,8644
Albania,"Tangerines, mandarins, clementines",2016,13263
Albania,"Tangerines, mandarins, clementines",2017,14568
Albania,"Tangerines, mandarins, clementines",2018,15716
Albania,Tomatoes,2015,124000
Albania,Tomatoes,2016,137552
Albania,Tomatoes,2017,138644
Albania,Tomatoes,2018,139521
Albania,Unmanufactured tobacco,2015,5063
Albania,Unmanufactured tobacco,2016,4557
Albania,Unmanufactured tobacco,2017,3125
Albania,Unmanufactured tobacco,2018,3896
Albania,Vetches,2015,1180
Albania,Vetches,2016,1236
Albania,Vetches,2017,1210
Albania,Vetches,2018,1182
Albania,Watermelons,2015,46313
Albania,Watermelons,2016,47367
Albania,Watermelons,2017,49534
Albania,Watermelons,2018,47080
Albania,Wheat,2015,87893
Albania,Wheat,2016,87893
Albania,Wheat,2017,87853
Albania,Wheat,2018,76800
Algeria,"Almonds, in shell",2015,144893
Algeria,"Almonds, in shell",2016,125215
Algeria,"Almonds, in shell",2017,117332
Algeria,"Almonds, in shell",2018,108388
Algeria,Apples,2015,702891
Algeria,Apples,2016,779775
Algeria,Apples,2017,769475
Algeria,Apples,2018,759463
Algeria,Apricots,2015,157739
Algeria,Apricots,2016,138006
Algeria,Apricots,2017,138070
Algeria,Apricots,2018,130197
Algeria,Artichokes,2015,26152
Algeria,Artichokes,2016,27846
Algeria,Artichokes,2017,30997
Algeria,Artichokes,2018,35594
Algeria,Barley,2015,270338
Algeria,Barley,2016,241312
Algeria,Barley,2017,254373
Algeria,Barley,2018,513451
Algeria,"Beans, dry",2015,657
Algeria,"Beans, dry",2016,405
Algeria,"Beans, dry",2017,685
Algeria,"Beans, dry",2018,1300
Algeria,"Broad beans and horse beans, dry",2015,16933
Algeria,"Broad beans and horse beans, dry",2016,14379
Algeria,"Broad beans and horse beans, dry",2017,17707
Algeria,"Broad beans and horse beans, dry",2018,20739
Algeria,"Broad beans and horse beans, green",2015,163456
Algeria,"Broad beans and horse beans, green",2016,178905
