countryName,year,tavg,prcp,tmax,tmin
Malta,2020,19.417154554443208,792.0,23.308869113830177,16.0586234705228
Malta,2021,19.790874935995905,1892.0,23.590384664618533,16.432123655913976
Malta,2022,19.791077188940093,2454.0,23.643477982590884,16.330809651817717
Malta,2023,19.848937532002047,3387.0,23.892419994879674,16.426377368151563
Malta,2024,20.37894419725621,3160.0,24.328665801507846,16.95957174638487
Malta,2025,20.064966717869943,7294.0,23.95056643625192,16.642195340501793
Marshall Islands,2015,28.06617959549411,10651.7,31.061424774439633,25.628072360035294
Marshall Islands,2016,28.266524533432207,7965.0,31.19112712930103,25.747321332933126
Marshall Islands,2017,28.456454173067076,7835.7,31.12756425718734,25.657607855717295
Marshall Islands,2018,28.1586283922171,11064.2,30.89923797989638,25.57834069576718
Marshall Islands,2019,28.383487583205323,8703.9,31.081941039587036,25.986683737100865
Marshall Islands,2020,28.52138116425658,10926.0,31.10167887335568,26.02604122784181
Marshall Islands,2021,27.396748276303477,17361.5,30.579090704103912,26.062040972921118
Marshall Islands,2022,27.272306067588328,20708.3,30.17314473459635,25.8368647593446
Marshall Islands,2023,27.783495797064344,19004.6,30.370326847584913,26.16192566990954
Marshall Islands,2024,28.016732850259917,16485.4,30.151835482358,26.507502512414412
Marshall Islands,2025,27.738112945895203,16523.6,29.576134814377244,26.32798155901568
Martinique,2015,27.03671146953405,0.0,30.446690965586964,24.27808552184711
Martinique,2016,27.10792584352985,0.0,30.625712581881103,24.289976517117786
Martinique,2017,26.445286738351253,0.0,30.36553291576178,20.349433519607324
Martinique,2018,26.66717662482123,0.0,29.941801075268817,23.83697375390646
Martinique,2019,26.896031746031746,0.0,30.480668202764978,23.973627112135173
Martinique,2020,26.2101928068224,0.0,30.67643987146212,18.53302249412928
Martinique,2021,26.394965437788017,1874.0,30.161481054787505,19.423292370711728
Martinique,2022,25.594910394265234,7979.0,30.186603302611367,19.03307411674347
Martinique,2023,26.267387096774193,10902.6,30.71642089093702,18.98390015360983
Martinique,2024,26.730895130391794,12264.4,31.08209794833766,18.7013925967124
Martinique,2025,26.541077316948286,14423.8,30.3101181515617,21.292942268305172
Mauritania,2015,27.8324817534584,564.0,33.97013258616305,22.03746187277503
Mauritania,2016,27.94425985982982,1817.1,34.174897492334644,21.881409026754678
Mauritania,2017,27.87149695337057,322.7,34.32782988447644,21.61091963919269
Mauritania,2018,24.392166027520865,0.0,29.932213805952486,20.495768156667534
Mauritania,2019,24.452003488223244,0.0,30.413312692012287,20.311698188684076
Mauritania,2020,25.47922452416265,0.0,32.125372018291934,20.622124814608824
Mauritania,2021,26.040554488820618,69.8,32.58889998293224,20.878964840416455
Mauritania,2022,26.026388373913402,606.1,32.129096468150976,21.24091780770521
Mauritius,2015,22.419636457011897,18011.3,26.068817067520463,20.01524899151577
Mauritius,2016,22.053013340558834,15046.0,25.788118313456412,19.52966097492723
Mauritius,2017,22.667414905077003,16812.9,26.33933156769932,20.045651845265436
Mauritius,2018,22.418653776830222,29049.3,26.210966633021602,19.883840027781446
Mauritius,2019,22.698648886328726,18784.2,26.51498461164963,20.22623857284169
Mauritius,2020,23.516707349312323,9062.9,26.60981884687441,21.562931679104366
Mauritius,2021,21.56501792114695,12478.9,24.541895225294418,19.347583781362008
Mauritius,2022,21.250965949820788,14592.9,24.566490143369172,18.796603686635944
Mauritius,2023,22.30104313876088,19013.2,25.786213517665132,19.560788786482338
Mauritius,2024,22.178973056482512,15554.1,25.67282140650105,19.481119021134596
Mauritius,2025,22.14886315924219,17077.2,25.907757936507938,19.41476849718382
Mayotte,2015,27.370544674859193,8465.0,30.377841629209446,24.6762068215318
Mayotte,2016,27.180184155234212,9826.0,30.375835854260956,24.36993903671138
Mayotte,2017,27.412468505570565,9886.0,30.712366959761287,24.60075212271764
Mayotte,2018,27.20131912442396,6683.0,30.660120908887595,24.27561640900526
Mayotte,2019,27.771745391705068,5194.0,30.93208461341526,25.098636624468103
Mayotte,2020,26.710978556420717,8376.0,30.634724407189648,21.023204724147437
Mayotte,2021,26.366395289298513,10712.0,30.371947644649257,20.76124295954941
Mayotte,2022,26.40293458781362,12985.0,30.318417178699438,21.111492575524835
Mayotte,2023,27.178443420378905,9167.0,31.252259984639018,21.58888632872504
Mayotte,2024,27.297896428130016,10957.0,31.266953405017922,21.301180125183183
Mayotte,2025,27.319619881879337,10203.0,30.779309937374457,22.218072295088422
Mexico,2015,17.887997136990602,1587.7,25.47348455971216,11.025218812118453
Mexico,2016,18.064939027719742,1868.9,25.7813293649679,10.964208564827077
Mexico,2017,17.93532788346444,1383.7,25.061084160531784,11.6626244600769
Mexico,2018,18.16349385763931,1119.4,24.899476606867946,12.220977281066416
Mexico,2019,18.68484176765091,1178.8,25.75658830259413,12.205564816754334
Mexico,2020,18.922294827784537,1332.2,26.235949714897725,12.147195004924457
Mexico,2021,18.329324948796724,5444.3,25.513117191500257,11.553863863287251
Mexico,2022,18.445854390681003,5789.5,25.68778537881597,11.342341382400198
Mexico,2023,18.85815501792115,5460.7,26.170903865847414,11.804516065028162
Mexico,2024,19.059779074101236,6549.1,26.594128941486563,12.419019039945347
Mexico,2025,18.517228334613417,8386.0,25.943422990021887,12.088723820981215
Micronesia,2015,27.53681623413372,19053.8,30.827317748335897,24.775431547619046
Micronesia,2016,28.32252094920282,15833.0,31.4677718298109,25.018410270671115
Micronesia,2017,28.146539511862095,20666.9,30.929834464194983,25.362103818322534
Micronesia,2018,27.875273156183294,17952.9,30.81873573067981,24.87781962029611
Micronesia,2019,27.890767537122375,19232.6,30.74044245117402,24.77521029917343
Micronesia,2020,27.85805660610555,22327.4,30.558126754595055,24.868162111340645
Micronesia,2021,27.597105136414555,28977.4,30.187425384956438,25.063554392691863
Micronesia,2022,27.561996998919042,32542.6,30.083245789952777,25.04263263071059
Micronesia,2023,27.840773169482848,32274.6,30.270761888760884,25.425441228238608
Micronesia,2024,28.21040955967483,27017.3,30.692693287159653,25.63800969194242
Micronesia,2025,27.88771009344598,34419.1,30.350487043824476,25.56764930766664
Moldova,2015,11.145405999317289,860.8,15.947061538099359,6.829138749950604
Moldova,2016,10.824019991235632,2140.5,14.767079756506007,6.944838402424496
Moldova,2017,9.635499018603857,2141.9,13.994982031769574,5.983385772052746
Moldova,2018,9.985870658049302,1884.1,14.356528837280614,6.383378240602599
Moldova,2019,10.57250957525151,1527.6000000000001,15.176106991873121,6.124603799258537
Moldova,2020,10.688381114035419,1536.5,15.24670172203744,6.256058971419491
Moldova,2021,10.190978174603174,6007.8,15.340525844412664,5.21720863790455
Moldova,2022,11.358175744213147,4284.8,16.76498986748945,6.100549417783427
Moldova,2023,12.423621287762417,4848.5,17.874362199180744,7.0199312596006145
Moldova,2024,12.717220955118433,5545.9,18.184561393510087,7.355815384721021
Moldova,2025,11.862003500531726,4402.9,17.099997861150072,6.651799548910261
Monaco,2015,16.78176523297491,5453.0,20.36637736815156,13.633876088069636
Monaco,2016,16.6329653318502,4849.0,20.00381660840087,13.499736160892075
Monaco,2017,16.635243215565797,4144.0,20.046820916538657,13.36769073220686
Monaco,2018,16.316102150537635,9046.0,19.844258832565284,13.025191158900837
Monaco,2019,14.806278161802355,7978.0,19.79030529953917,10.82687788018433
Monaco,2020,14.5915168087999,6515.0,19.560569150908417,10.559203435916451
Monaco,2021,14.563447260624681,6026.0,19.021364567332306,10.337249743983614
Monaco,2022,15.700874295954941,4666.0,20.133075396825397,11.545046082949309
Monaco,2023,15.491001024065541,3388.0,20.017946748591907,11.149889272913466
Monaco,2024,15.650685638363615,10377.0,19.701666048696083,11.554746632060313
Monaco,2025,16.064125704045058,8414.0,19.674989119303635,11.916472094214031
Mongolia,2015,1.586647069034818,677.9,8.326161050751937,-4.415365274643137
Mongolia,2016,0.2898307609740753,824.5,6.641883930563939,-5.2309333912959906
Mongolia,2017,1.8569045965098012,465.6,8.658105080542214,-4.1078122992188
Mongolia,2018,0.7365775071911855,767.5,7.411582391235806,-5.128071240862804
Mongolia,2019,0.8973241802687068,789.2,7.736290516582309,-5.13299306160537
Mongolia,2020,1.2296303774474613,752.2,8.053593674931673,-4.645442726594429
Mongolia,2021,1.5755448352413712,829.3,8.23047740637293,-4.434734446124317
Mongolia,2022,1.8607297381402235,213.1,9.183030600937535,-4.915825303676302
Mongolia,2023,2.6427581748339306,365.0,9.460109652177382,-3.937335768862215
Mongolia,2024,2.0564520442270893,304.3,8.264577820826522,-4.825568367875185
Mongolia,2025,4.785663299487823,346.6,11.56582042091397,-2.226209967092729
Montenegro,2015,14.943851667698688,2664.2000000000003,20.160052219333224,9.834661454844007
Montenegro,2016,15.661046385883846,3151.9,21.068506428383163,10.87392006681092
Montenegro,2017,15.561721910885021,5499.5,20.684833085751688,10.365524498970945
Montenegro,2018,16.236242284999708,6758.8,21.792310811193012,11.262478745549737
Montenegro,2019,15.467764681912419,7465.2,20.95027253426657,10.511329073363177
Montenegro,2020,14.91155203648176,5330.5,20.68562443564745,9.938621475552546
Montenegro,2021,14.908146681387608,16920.9,19.42860423067076,9.832488399257553
Montenegro,2022,15.761077028929853,13811.1,20.400707005248336,10.256961005504353
Montenegro,2023,15.702091733870967,15130.2,20.43731686827957,10.600941420250896
Montenegro,2024,16.411247425122564,13424.5,21.586929458657767,11.003870118032381
Montenegro,2025,15.926781153993856,13540.300000000001,20.93578606876994,11.005890296979006
Montserrat,2021,26.175068484383,4734.0,28.362496159754226,24.461294802867386
Montserrat,2022,26.07842485919099,6084.0,28.180709165386585,24.222677291346645
Montserrat,2023,26.66229262672811,6277.0,28.738840885816693,24.747740015360982
Montserrat,2024,27.24598071931776,6726.0,29.287056059439262,25.291850747955678
Montserrat,2025,26.430167857699416,5695.0,28.281045938244397,24.712333756316927
Morocco,2015,18.46010569215422,1899.2,24.566844023454408,12.758705280406456
Morocco,2016,18.736180756395996,2722.5,24.62269467716432,13.161158622372286
Morocco,2017,18.98730414746544,1504.3,25.481675284632423,12.997186414185544
Morocco,2018,17.62351900921659,5899.6,23.09234877406407,12.533089676799744
Morocco,2019,17.988074244751665,2018.5,23.942556451612905,12.412624935995904
Morocco,2020,18.781941200098874,2025.2,24.710025923866024,13.239022648621926
Morocco,2021,18.405990335381468,2912.9,24.13620596518177,13.014624679979518
Morocco,2022,19.316994623655912,2968.7,25.26770174091142,13.913719598054277
Morocco,2023,19.285519265232974,2576.8,25.224522017409114,13.633293202764976
Morocco,2024,19.507074725819066,3536.6,25.468205834697848,14.144501325810786
Morocco,2025,19.28568618209747,5881.5,25.071387085137086,13.973070596518177
Mozambique,2015,24.20528876552379,1527.3,29.44877208097533,19.269954282448364
Mozambique,2016,24.281786907124314,2335.4,29.453127316738765,19.305598375116706
Mozambique,2017,24.052650988651056,4574.1,29.346142016086056,19.210958468376386
Mozambique,2018,24.13492531597339,4478.2,29.667214017352325,19.216072918665894
Mozambique,2019,24.46257812326762,4452.900000000001,30.082974997175956,19.719740504847202
Mozambique,2020,24.109660988094756,2367.7,29.498976034692127,19.557747976913785
Mozambique,2021,24.043588453661034,5729.6,29.08734043778802,19.83235055043523
Mozambique,2022,23.904279697900666,9555.7,28.893613159242193,19.73114093701997
Myanmar,2015,28.60518102539889,996.8,34.25399384643135,22.482286497171845
Myanmar,2016,28.690155571996204,187.0,33.99508339187616,22.317584541062804
Myanmar,2017,28.41462307112249,1423.0,33.3889378340618,21.905993638767924
Myanmar,2018,28.087914652326674,3219.6,33.279185798723404,22.374883851231854
Myanmar,2019,28.514875192012287,2224.6,34.31052707373272,22.911429531490015
Myanmar,2020,28.278209650934897,1673.6,34.3874437646768,23.070488969225064
Myanmar,2021,27.840052540111337,11677.8,33.57045933186029,22.81742816407245
Myanmar,2022,27.782486489775742,15449.6,33.45364370905945,22.838272302432284
Myanmar,2023,28.060175828395874,16875.9,33.7379459256821,23.13737610635652
Myanmar,2024,28.073861648760612,17346.4,33.789830691905216,23.105123275699842
Myanmar,2025,27.394385469241463,17653.8,32.78336346097579,22.992477095676982
Namibia,2015,22.246028343757104,919.9,30.383980486858157,15.65100275273161
Namibia,2016,22.9804645190381,962.9,30.003591748945265,15.850452169942887
Namibia,2017,22.32791496210534,860.3,28.988894975170098,15.556635978653038
Namibia,2018,22.557317007486965,586.2,29.082821599345422,16.08984192220314
Namibia,2019,23.056226525424044,309.40000000000003,30.655467023791047,16.533891664722162
Namibia,2020,21.57153099471325,499.4,29.359187099216186,14.959244777936801
Namibia,2021,21.44144804696072,2915.1,28.38854399824446,15.257602315119595
Namibia,2022,21.463709301522282,2911.1,29.390936368017318,14.867508923439189
Namibia,2023,21.772482078853045,1986.6,29.466657980396462,15.591477214541731
Namibia,2024,22.07043632086378,1570.8,29.9591997590292,15.413485673268765
Namibia,2025,21.06229522630335,3833.6,27.916547756199254,15.081830327250833
Nauru,2018,28.213662430759204,0.0,28.76461550993809,27.626379928315412
Nauru,2019,28.144304915514592,0.0,28.734745396119145,27.524974641135653
Nauru,2020,28.03643140272367,0.0,28.65218141609966,27.405286471834717
Nauru,2021,27.821347030209935,7916.0,28.716245647721454,27.056207245263696
Nauru,2022,27.73980491551459,3537.0,28.669228494623656,26.983805939580133
Nauru,2023,28.186345750128005,24965.0,29.405140809011776,27.14634882232463
Nauru,2024,28.79536059375881,11334.0,30.82941448607559,27.12578619326951
Nauru,2025,28.25849078341014,5573.0,30.053304002760523,26.925962037222558
Nepal,2015,18.067139361534522,2726.6,26.090637560591677,12.847709418521314
Nepal,2016,18.59727598566308,2601.0,26.2210297817681,13.351425226540167
Nepal,2017,18.594689580133128,2036.4,26.063444965305365,13.233090615577176
Nepal,2018,19.490938647826855,1427.4,26.259434863225188,14.501267670347204
Nepal,2019,20.02148985535074,2499.0,26.932330549155143,15.01739219172096
Nepal,2020,19.727315458534175,369.0,26.137592077617104,15.069456185885551
Nepal,2021,21.860811251920122,11630.6,28.37739991359447,17.085834213389656
Nepal,2022,21.963652622733374,14822.0,28.51015235181948,17.2828287658686
Nepal,2023,22.22294210829493,12338.9,28.91856126792115,17.121090869815667
Nepal,2024,22.303208800046374,14606.9,28.627662325555352,17.412189625924444
Nepal,2025,22.144143265168967,13025.4,28.22953565028162,17.414678659434205
New Caledonia,2015,22.7643812761438,0.0,28.16025273438317,18.09909360774759
New Caledonia,2016,23.160256606876356,0.0,28.663602000169508,18.096431260995764
New Caledonia,2017,22.972428804929685,0.0,28.716392325448698,17.994401939922508
New Caledonia,2018,22.69354270738531,0.0,26.742144521933895,19.051439404207432
New Caledonia,2019,22.942985791090628,0.0,25.573495285767255,20.714696510231825
New Caledonia,2020,23.3915870745777,0.0,26.53622687014829,20.825855581229806
New Caledonia,2021,23.382378284045004,10605.3,26.37825867251417,20.74233022974773
New Caledonia,2022,24.332630852819026,18591.7,27.220854099106784,21.723522927689594
New Caledonia,2023,23.11752176139273,12381.0,26.26194046196734,20.18187532002048
New Caledonia,2024,23.58457966057511,9574.4,26.55054683178277,20.994484341400053
New Caledonia,2025,24.01163366899926,14881.8,26.63775573810637,22.004925622292966
New Zealand,2015,14.185655081925242,4532.5,17.98013859829558,10.767793101159496
New Zealand,2016,14.80395944053063,5791.3,18.498870143781158,11.48614206113789
New Zealand,2017,14.542997738521933,6479.3,18.138182923707117,11.340297619047618
New Zealand,2018,14.3437662513608,7258.9,17.971887886554182,11.107430559491183
New Zealand,2019,14.107793504498575,5349.2,17.885711085509474,10.667650866798331
New Zealand,2020,13.905637582228593,4917.8,17.815148324427014,10.341422119509357
New Zealand,2021,14.17767850031291,10054.7,17.82432240996757,10.745667918302328
New Zealand,2022,14.474465636911873,12417.0,18.09388725322865,10.944863102349663
New Zealand,2023,14.1039412300165,12280.0,17.692886869204074,10.57905188598737
New Zealand,2024,13.904797854955438,8543.8,17.74497802771255,10.128862384817149
New Zealand,2025,14.217694572452636,11259.0,18.004391392160212,10.60814821926381
Nicaragua,2015,28.392621629853277,0.0,33.59345244238046,24.071667239995417
Nicaragua,2016,28.17644357928563,0.0,33.285295868037096,23.870230373914584
Nicaragua,2017,27.525397465437788,0.0,32.604116555529096,23.401003600945554
Nicaragua,2018,27.431162314388118,0.0,32.5762628513488,23.036106866628938
Nicaragua,2019,27.894178827444957,0.0,33.17300307219662,23.467331669226827
Nicaragua,2020,27.48423124459276,0.0,32.48241811889754,23.4006742059078
Nicaragua,2021,25.812209901433693,5478.4,31.351109511008705,21.602630088325654
Nicaragua,2022,25.41915361755566,15290.6,30.72673845057118,21.474428195128624
Nicaragua,2023,26.2393998015873,12004.2,31.686399769585254,22.119927995391706
Nicaragua,2024,26.379090674110838,16723.0,31.70148626547171,22.417868492690516
Nicaragua,2025,25.92425108250406,9923.4,31.337150495892605,21.995420249504665
Niger,2015,29.96704430513184,2702.6,36.20024994124678,22.691924253669185
Niger,2016,30.54677500317923,3174.5,36.50434050077722,23.3291411013397
Niger,2017,30.12926232213673,3029.1,36.15904265523388,22.706540424159787
Niger,2018,30.256544985415534,3381.2,36.41115279934221,22.684029644683672
Niger,2019,30.223590663372338,3172.8,36.36143165651182,22.808580670931004
Niger,2020,30.06108914472891,4158.3,36.21389280441308,22.877525415970954
Niger,2021,30.542889856061898,2774.2,36.98222442680776,22.639966077828984
Niger,2022,29.628466035159583,4273.1,35.761664035387156,22.13562112419639
Niger,2023,30.44412997098481,3404.8,36.83951200432383,23.002510596233716
Niger,2024,29.473666694132024,4976.0,36.007842149713674,22.606245340697974
Niger,2025,29.42667605393412,3780.2,36.44653442586609,22.594948782009403
Nigeria,2015,27.486566102311905,1029.3,33.066260648816204,23.045892781473626
Nigeria,2016,27.450007110951862,901.9,32.66936154730925,22.85857291031669
Nigeria,2017,27.997557272684027,650.5,32.344324555038185,22.501322371991233
Nigeria,2018,26.813061241758046,1598.5,32.53010402497926,22.03821807963844
Nigeria,2019,27.268400793650795,1013.3000000000001,33.036165340036305,22.521474589426578
Nigeria,2020,27.37096675428607,947.6999999999999,33.30116260414026,22.299329775478327
Nigeria,2021,26.988085454611955,7121.1,32.78560108989833,22.27217266476483
