Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","127.677141","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","128.002089","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","128.251956","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","127.332161","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","127.699447","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","130.335891","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","132.280617","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","131.438728","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","132.155664","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","131.69953","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","137.772399","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","142.350333","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","143.907221","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","150.708838","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","153.851465","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","155.173082","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","155.096341","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","161.336283","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","163.012382","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","165.568171","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","165.040503","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","162.188702","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","162.003413","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","159.846092","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","159.482142","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","158.558547","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","158.736219","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","159.969363","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","158.795801","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","156.018562","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","153.477296","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","147.094366","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","144.171425","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","144.062977","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","140.418101","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","140.531694","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","137.214268","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","135.498511","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","134.812977","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","136.976084","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","136.956544","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","137.079517","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","135.885663","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","132.722223","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","129.081619","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","127.567122","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","128.958895","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","127.668649","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2024","2024","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","127.561459","X","Figure from external organization","base year is 2015"
